epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,244.945,1.61534,0.6906,0.9925,1.87187,0.00333244,0.00333244,0.00333244
2,475.818,1.04412,0.7528,0.9945,1.77322,0.00633582,0.00633582,0.00633582
3,698.847,0.96779,0.7755,0.9952,1.7619,0.0090092,0.0090092,0.0090092
4,917.229,0.88233,0.8292,0.9971,1.71986,0.008515,0.008515,0.008515
5,1137.8,0.74808,0.8449,0.997,1.69252,0.00802,0.00802,0.00802
6,1358.33,0.69329,0.8536,0.9984,1.67756,0.007525,0.007525,0.007525
7,1579.05,0.65638,0.8698,0.998,1.66901,0.00703,0.00703,0.00703
8,1806.94,0.6287,0.8706,0.9981,1.66161,0.006535,0.006535,0.006535
9,2048.88,0.59799,0.8719,0.998,1.65423,0.00604,0.00604,0.00604
10,2277.66,0.57965,0.8815,0.998,1.64482,0.005545,0.005545,0.005545
11,2503.92,0.56355,0.8847,0.9979,1.63927,0.00505,0.00505,0.00505
12,2731.32,0.5443,0.8887,0.9979,1.63582,0.004555,0.004555,0.004555
13,2959.63,0.52836,0.8903,0.9983,1.63209,0.00406,0.00406,0.00406
14,3186.23,0.51389,0.8922,0.9983,1.62996,0.003565,0.003565,0.003565
15,3413.33,0.4976,0.892,0.9984,1.62796,0.00307,0.00307,0.00307
16,3639.39,0.4934,0.8943,0.9984,1.62638,0.002575,0.002575,0.002575
17,3867.12,0.47595,0.8948,0.9984,1.62449,0.00208,0.00208,0.00208
18,4095.48,0.46587,0.8962,0.9983,1.62343,0.001585,0.001585,0.001585
19,4350.77,0.45185,0.8961,0.9983,1.62231,0.00109,0.00109,0.00109
20,4611.01,0.43911,0.8976,0.9983,1.62108,0.000595,0.000595,0.000595
